Key,userName,ipAddress,logonTime,logoffTime,userType,localRouter,remoteRouter,serverName,RtrStatus,SrvrStatus,userId,localRouterId,remoteRouterId,serverId
<!>Total SLE users today,41
<!>maxConcurrentUsers,0
<!>Current SLE users,0
<!>Current SLC users,0
20001:18301:15401,ULLINK-ULBRIDGE,21,06:06:40,21:30:10,GL API,Paris Trading, ,SLE,Up,Up,20001,18301, ,15401
180:18301:15401,180,170.198.54.55,06:07:15,21:30:10,GL Win,Paris Trading, ,SLE,Up,Up,180,18301, ,15401
991:18301:15401,991,127.0.0.1,06:10:12,21:30:10,GL Win,Paris Trading, ,SLE,Up,Up,991,18301, ,15401
700:9351:18301:15401,700,AXLO09_NI_5130,06:10:25,21:30:10,GL Win,9351,Paris Trading,SLE,Up,Up,700,9351,18301,15401
141:18301:4001,Arthur Negus,170.198.239.54,06:35:46,11:27:28,GL Win,Paris Trading, ,SLC,Up,Up,141,18301, ,4001
141:18301:15401,Arthur Negus,170.198.239.54,14:56:07,14:57:59,GL Win,Paris Trading, ,SLE,Up,Up,141,18301, ,15401
200:18301:15401,200,170.198.54.54,06:56:20,19:16:17,GL Win,Paris Trading, ,SLE,Up,Up,200,18301, ,15401
197:18301:15401,197,170.198.55.138,14:00:11,16:51:05,GL Win,Paris Trading, ,SLE,Up,Up,197,18301, ,15401
165:18301:15401,Bill Small,170.198.228.155,07:06:47,16:56:11,GL Win,Paris Trading, ,SLE,Up,Up,165,18301, ,15401
170:18301:15401,170,170.198.239.156,13:17:25,19:57:42,GL Win,Paris Trading, ,SLE,Up,Up,170,18301, ,15401
20004:18301:15401,FDL,21,07:14:41,21:30:10,GL API,Paris Trading, ,SLE,Up,Up,20004,18301, ,15401
158:18301:15401,Kate Philips,170.198.229.33,07:17:13,17:51:57,GL Win,Paris Trading, ,SLE,Up,Up,158,18301, ,15401
166:18301:15401,Jos Wainwright,170.198.228.22,07:18:41,16:52:11,GL Win,Paris Trading, ,SLE,Up,Up,166,18301, ,15401
162:18301:15401,George Staley,170.198.228.30,07:32:03,16:34:38,GL Win,Paris Trading, ,SLE,Up,Up,162,18301, ,15401
190:18301:15401,190,170.198.55.58,07:28:20,17:46:54,GL Win,Paris Trading, ,SLE,Up,Up,190,18301, ,15401
167:18301:15401,Dave Curnow,170.198.229.147,15:40:20,16:54:19,GL Win,Paris Trading, ,SLE,Up,Up,167,18301, ,15401
153:18301:15401,Louis Louca,170.198.239.132,07:32:46,16:54:00,GL Win,Paris Trading, ,SLE,Up,Up,153,18301, ,15401
